code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
33,0.65,3,4,1,0.366736763000517,1,33,1,4,0.995103763999396,1,1,0.366736763000517,4,1,0,0,0,0.707106781186548,0.707106781186547,2
53,0.65,1,4,1,0.269938167999499,1,53,2,4,0.170757774999402,2,1,0.269938167999499,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
165,0.65,1,4,2,0.698766898000031,2,165,7,4,0.171782833000179,4,1,0.698766898000031,4,0,1,0,0,NaN,NaN,2
48,1.4,3,4,2,0.898685909000051,2,48,5,4,0.335587770000529,1,1,0.898685909000051,4,0,1,0,0,NaN,NaN,2
156,0.65,1,4,1,0.371582818000206,1,156,4,4,0.170634250999683,4,1,0.371582818000206,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
304,0.65,1,8,2,0.699181760000101,2,304,11,4,0.171122210000249,3,1,0.699181760000101,4,0,1,0,0,NaN,NaN,2
211,0.65,1,8,1,1.26741517400023,2,211,10,2,0.0998075769994102,1,0,NaN,NaN,0,0,1,0,NaN,NaN,2
44,1.4,3,4,2,0.500547001000086,2,44,6,4,0.170532684000136,1,1,0.500547001000086,4,0,1,0,0,NaN,NaN,2
197,0.65,1,8,1,2.46982588100036,1,197,1,2,0.294931685999472,1,1,2.46982588100036,2,1,0,0,0,0.923879532511287,0.38268343236509,2
276,1.4,3,8,1,0.668261110999993,1,276,4,4,0.541833494000457,2,1,0.668261110999993,4,1,0,0,0,-0.923879532511287,0.38268343236509,2
360,0.65,1,8,1,0.670617285999469,2,360,9,2,1.12944433200028,4,0,NaN,NaN,0,0,1,0,NaN,NaN,2
3,0.65,1,4,1,0.469104064000021,1,3,1,4,2.44667308499993,1,1,0.469104064000021,4,1,0,0,0,0.707106781186548,0.707106781186547,2
121,0.65,3,4,1,0.47014696899987,1,121,3,4,0.187370321000344,3,1,0.47014696899987,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
260,0.65,1,8,1,1.07485492599972,2,260,9,3,0.496071061000293,2,0,NaN,NaN,0,0,1,0,NaN,NaN,2
293,0.65,1,8,1,0.373345423000501,1,293,5,4,0.361859484999513,3,1,0.373345423000501,4,1,0,0,0,-0.923879532511287,-0.38268343236509,2
305,0.65,1,8,1,1.16760710899962,2,305,15,2,0.120573662000425,3,0,NaN,NaN,0,0,1,0,NaN,NaN,2
249,0.65,1,8,1,0.471189591000439,1,249,4,4,1.16597964300036,2,1,0.471189591000439,4,1,0,0,0,-0.923879532511287,0.38268343236509,2
184,1.4,3,4,2,0.502933062000011,2,184,6,4,0.188138891000563,4,1,0.502933062000011,4,0,1,0,0,NaN,NaN,2
19,0.65,1,4,2,0.50053715499962,2,19,5,4,0.200449431999914,1,1,0.50053715499962,4,0,1,0,0,NaN,NaN,2
215,0.65,1,8,2,1.71149306200005,2,215,11,3,0.130613821000225,1,1,1.71149306200005,3,0,1,0,0,NaN,NaN,2
350,0.65,1,8,1,0.46886191700014,2,350,10,3,0.320837514000232,4,0,NaN,NaN,0,0,1,0,NaN,NaN,2
292,0.65,1,8,1,0.368025650999698,1,292,5,4,0.194041577999997,3,1,0.368025650999698,4,1,0,0,0,-0.923879532511287,-0.38268343236509,2
192,1.4,3,4,2,0.504974888999641,2,192,5,4,0.186415099999977,4,1,0.504974888999641,4,0,1,0,0,NaN,NaN,2
114,0.65,1,4,2,0.503394510999897,2,114,5,4,0.888599461999547,3,1,0.503394510999897,4,0,1,0,0,NaN,NaN,2
124,1.4,3,4,1,0.468893680999827,1,124,3,4,1.86025669500032,3,1,0.468893680999827,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
345,0.65,1,8,1,0.866079776000333,1,345,8,3,0.15732256299998,4,1,0.866079776000333,3,1,0,0,0,0.923879532511287,-0.38268343236509,2
28,1.4,3,4,1,0.366474215999915,1,28,1,4,0.509802581000258,1,1,0.366474215999915,4,1,0,0,0,0.707106781186548,0.707106781186547,2
10,0.65,1,4,1,0.570479542000612,1,10,1,4,0.356826567000098,1,1,0.570479542000612,4,1,0,0,0,0.707106781186548,0.707106781186547,2
58,0.65,1,4,1,0.672388375000082,1,58,2,4,0.193315763000101,2,1,0.672388375000082,4,1,0,0,0,-0.707106781186547,0.707106781186548,2
357,0.65,1,8,1,1.56896641200001,2,357,9,2,0.288179908000529,4,0,NaN,NaN,0,0,1,0,NaN,NaN,2
634,1.4,1,8,2,1.79912131899982,1,250,4,2,0.789330277000772,2,0,NaN,NaN,0,0,0,1,-0.923879532511287,0.38268343236509,2
652,1.4,3,8,1,0.367907910999747,1,268,3,4,0.190489984999658,2,1,0.367907910999747,4,1,0,0,0,-0.38268343236509,0.923879532511287,2
674,1.4,1,8,1,1.27158251600031,1,290,5,2,0.290831129999788,3,1,1.27158251600031,2,1,0,0,0,-0.923879532511287,-0.38268343236509,2
539,1.4,1,4,1,0.571798784000748,1,155,4,4,0.18557910600066,4,1,0.571798784000748,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
496,1.4,1,4,2,0.600145584000529,2,112,7,4,0.555604098000003,3,1,0.600145584000529,4,0,1,0,0,NaN,NaN,2
604,1.4,3,8,1,1.17583849099992,1,220,1,2,0.454544267000529,1,1,1.17583849099992,2,1,0,0,0,0.923879532511287,0.38268343236509,2
490,1.4,1,4,1,0.370491095000034,1,106,3,4,0.524146489000486,3,1,0.370491095000034,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
391,1.4,1,4,1,0.369943699999567,1,7,1,4,0.189418162999573,1,1,0.369943699999567,4,1,0,0,0,0.707106781186548,0.707106781186547,2
386,1.4,1,4,1,0.37212704600006,1,2,1,4,0.191755769999872,1,1,0.37212704600006,4,1,0,0,0,0.707106781186548,0.707106781186547,2
408,1.4,1,4,2,0.602813778999916,2,24,6,4,1.74989200399978,1,1,0.602813778999916,4,0,1,0,0,NaN,NaN,2
692,1.4,1,8,2,1.80771198599996,2,308,11,2,0.618625566999981,3,1,1.80771198599996,2,0,1,0,0,NaN,NaN,2
638,1.4,1,8,2,0.80664692999926,2,254,14,3,0.324214510000274,2,1,0.80664692999926,3,0,1,0,0,NaN,NaN,2
398,1.4,1,4,2,0.394081814999481,2,14,6,4,0.198442608999358,1,1,0.394081814999481,4,0,1,0,0,NaN,NaN,2
551,1.4,1,4,1,2.27467075299955,2,167,6,4,0.171210026000153,4,0,NaN,NaN,0,0,1,0,NaN,NaN,2
608,1.4,3,8,1,0.371218340000269,1,224,2,4,0.524259132000225,1,1,0.371218340000269,4,1,0,0,0,0.38268343236509,0.923879532511287,2
591,1.4,1,8,1,1.06944643099996,2,207,14,2,0.099223406999954,1,0,NaN,NaN,0,0,1,0,NaN,NaN,2
508,1.4,3,4,1,0.274840785999913,1,124,3,4,0.5519116330006,3,1,0.274840785999913,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
745,0.65,3,8,1,0.370397994000086,1,361,7,4,0.549194172000171,4,1,0.370397994000086,4,1,0,0,0,0.38268343236509,-0.923879532511287,2
491,1.4,1,4,1,0.370809219999501,1,107,3,4,0.700102103000063,3,1,0.370809219999501,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
529,1.4,1,4,1,0.381223605000741,1,145,4,4,0.186097824000171,4,1,0.381223605000741,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
